year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Concours CCINP PC-Chimie	4460	38,0%	20,3%	3608	37,8%	21,1%	3112	38,8%	20,4%	540						545
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges C̩ramique Industrielle										4	100,0%	25,0%	1889*	1760*	8*	45*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges G̩nie civil										2	50,0%	50,0%	1569*	1321*	8*	6*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges Eau										11	63,6%	18,2%	1342*	1395*	16*	28*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges ELT										0	0,0%	0,0%	1762*	1673*	15*	28*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges Mat̩riaux										9	33,3%	33,3%	1468*	1449*	12*	22*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges M̩catronique										2	0,0%	50,0%	1330	1296	17*	22*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	Concours ENSIL-ENSCI Inter Fil.	971	46,3%	19,2%	713	46,6%	17,8%	713	46,6%	17,8%	28					76	151
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	Grenoble INP - G̩nie industriel	1035	38,1%	19,6%	402	32,1%	19,2%	51	47,1%	9,8%	3	33,3%	66,7%	141	149	77*	76*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	Lorraine INP - EEIGM	509	45,8%	22,0%	310	46,1%	20,0%	37	54,1%	8,1%	5	20,0%	0,0%	23	24	10*	10*
2022	PC	Banque ̩preuves CCINP Inter-Fili̬re	Lorraine INP - ENSGSI	652	43,1%	18,6%	488	43,0%	17,2%	85	55,3%	27,1%	11	54,5%	27,3%	133	126	35*	40*
2022	PC	Banque ̩preuves CCINP	ECOLE DE L'AIR Base	630	28,9%	22,9%	202	22,3%	31,2%	40	22,5%	47,5%	3	66,7%	0,0%	28	21		3
2022	PC	Banque ̩preuves CCINP	ECOLE DE L'AIR M̩ca	571	26,8%	22,8%	184	21,2%	29,9%	34	14,7%	55,9%	3	0,0%	100,0%	21	21		3
