year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	CONCOURS POLYTECH Inter-Filière	ISIFC Besançon-Génie Biomédical										2	50.0	50.0	1942	1927	6
2019	pc	CONCOURS POLYTECH Inter-Filière	ISTIA Angers										2	50.0	0.0	2756	2673	6
2019	pc	CONCOURS POLYTECH Inter-Filière	ISTY Vélizy										0	0.0	0.0	3785	3785	3
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Environnement, Bâtiment, Énergie										9	22.2	33.3	3897	3688	16
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Informatique données Usages										1	100.0	0.0	3499	3214	4
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Instrumentation, Automatique,Informatique										0	0.0	0.0	3945	3959	4
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Mécanique, Matériaux										2	0.0	50.0	3437	3388	8
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Biologique										5	60.0	0.0	2681	2698	5
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Civil										4	50.0	25.0	3787	3316	16
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Electrique										1	0.0	100.0	4083	3977	5
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Mathématique et Modélisation										1	0.0	0.0	3434	3298	14
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Physique										4	25.0	25.0	3811	3625	8
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Géotechnique et génie civil										3	66.7	66.7	3055	3198	6
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Matériaux										6	16.7	16.7	2522	2642	6
2019	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Prévention des risques										2	50.0	50.0	3568	3136	6
