year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,mines-ponts,PSI,LIMOGES,GAY LUSSAC,33,6,4,1,4,1,1,1
2002,mines-ponts,PSI,BOURG EN BRESSE,LALANDE,2,1,0,0,0,0,0,0
2002,mines-ponts,PSI,LYON,AUX LAZARISTES,27,1,12,0,11,0,2,0
2002,mines-ponts,PSI,LYON,DU PARC,85,15,32,3,31,3,10,0
2002,mines-ponts,PSI,LYON,INSTITUT DES CHARTRX,2,0,1,0,1,0,0,0
2002,mines-ponts,PSI,LYON,LA MARTINIERE,68,11,33,6,32,6,14,3
2002,mines-ponts,PSI,SAINT-ETIENNE,FAURIEL,13,3,0,0,0,0,0,0
2002,mines-ponts,PSI,SAINT-ETIENNE,E. MIMARD,34,7,13,4,13,4,6,2
2002,mines-ponts,PSI,MONTPELLIER,JOFFRE,83,17,40,8,38,7,5,1
2002,mines-ponts,PSI,NIMES,ALPHONSE DAUDET,23,1,3,0,3,0,0,0
2002,mines-ponts,PSI,PERPIGNAN,F. ARAGO,30,4,7,0,7,0,0,0
2002,mines-ponts,PSI,EPINAL,C. GELLEE,6,0,0,0,0,0,0,0
2002,mines-ponts,PSI,METZ,FABERT,55,5,19,2,19,2,9,1
2002,mines-ponts,PSI,NANCY,HENRI POINCARE,23,8,0,0,0,0,0,0
2002,mines-ponts,PSI,NANCY,LORITZ,61,13,31,6,25,4,5,0
2002,mines-ponts,PSI,ANGERS,HENRI BERGSON,13,2,3,0,2,0,1,0
2002,mines-ponts,PSI,LA FLECHE,PRYTANEE MILITAIRE,26,3,5,1,5,1,0,0
2002,mines-ponts,PSI,LE MANS,MONTESQUIEU,11,1,1,0,1,0,0,0
2002,mines-ponts,PSI,NANTES,GEORGES CLEMENCEAU,122,21,68,13,64,13,17,5
2002,mines-ponts,PSI,NANTES,SAINT STANISLAS,4,0,0,0,0,0,0,0
2002,mines-ponts,PSI,NICE,LES EUCALYPTUS,18,3,3,2,2,1,0,0
2002,mines-ponts,PSI,NICE,MASSENA,46,17,18,7,17,7,4,2
2002,mines-ponts,PSI,TOULON,DUMONT D'URVILLE,34,9,13,3,10,3,1,1
2002,mines-ponts,PSI,VALBONNE,CENTRE INTERNATIONAL,34,9,17,4,16,4,3,1
2002,mines-ponts,PSI,CHARTRES,MARCEAU,1,0,0,0,0,0,0,0
